
PRCD_RECH_POM_ID_HAB_020 : 2981 row(s);
Action;Start;End;Duration;
Connection;14:36:56.316;14:36:59.497; 3181 ms;
Statment;14:36:59.497;14:36:59.551;   54 ms;
Execution;14:36:59.551;14:37:01.736; 2185 ms;
Total;14:36:56.316;14:37:01.736; 5420 ms;

PRCD_RECH_POM_ID_HAB_020;
N°;Name;Type;Size;Class;
1;ID_POM_STM;BIGINT;20;java.lang.Long;
2;CD_TYPE_IDNT;CHAR;10;java.lang.String;
3;ID_POM_SYST;VARCHAR;32;java.lang.String;
4;LB_POM_SI;VARCHAR;256;java.lang.String;
5;MIN_DATE;DATE;10;java.sql.Date;
6;MAX_DATE;DATE;10;java.sql.Date;
7;FL_CM;BYTEINT;4;java.lang.Integer;
8;FL_HORS_PRTF;INTEGER;11;java.lang.Integer;

PRCD_RECH_POM_ID_HAB_020 : 2972 row(s);
ID_POM_STM;CD_TYPE_IDNT;ID_POM_SYST;LB_POM_SI;MIN_DATE;MAX_DATE;FL_CM;FL_HORS_PRTF;
82291230;IDC                 ;09110168;EARL LUSSON E.P;2010-01-01;9999-12-31;1;null;
82291230;PRM                 ;30000911016864;null;2010-01-01;9999-12-31;1;null;
82291222;IDC                 ;07303444;SARL TOLBIAC FRUITS;2010-01-01;9999-12-31;1;null;
82291222;PRM                 ;30000730344459;null;2010-01-01;9999-12-31;1;null;
82291221;IDC                 ;02540316;BOULANGERIE LE COUEDIC A BEAUVOIR ;2010-01-01;9999-12-31;1;null;
82291221;PRM                 ;30000254031615;null;2010-01-01;9999-12-31;1;null;
82291220;PRM                 ;30000910275154;null;2010-01-01;9999-12-31;1;null;
82291220;IDC                 ;09102751;COOPERATIVE UNION SET;2010-01-01;9999-12-31;1;null;
82291205;IDC                 ;01340649;CU EHPAD LA QUIETUDE _ CORBEHEM;2010-01-01;9999-12-31;1;null;
82291205;PRM                 ;30000134064970;null;2010-01-01;9999-12-31;1;null;
82291204;IDC                 ;07314840;PETIT DEFI DE LA SORBONNE;2010-01-01;9999-12-31;1;null;
82291204;PRM                 ;30000731484076;null;2010-01-01;9999-12-31;1;null;
82291201;PRM                 ;30000730524349;null;2010-01-01;9999-12-31;1;null;
82291201;IDC                 ;07305243;SARL BOULANGERIE LORY;2010-01-01;9999-12-31;1;null;
82291188;PRM                 ;30000214091855;null;2010-06-01;9999-12-31;1;null;
82291188;IDC                 ;02140918; EMI;2010-06-01;9999-12-31;1;null;
82291181;IDC                 ;07308090;FORUM VAL LOIRE;2010-01-01;9999-12-31;1;null;
82291181;PRM                 ;30000730809073;null;2010-01-01;9999-12-31;1;null;
82291156;PRM                 ;30000254047024;null;2010-01-01;9999-12-31;1;null;
82291156;IDC                 ;02540470;EDF CNPE DE FLAMANVILLE à LES PIEUX;2010-01-01;9999-12-31;1;null;
82291150;PRM                 ;30000964007618;null;2010-01-01;9999-12-31;1;null;
82291150;IDC                 ;09640076;Ecole Dep SAPEURS POMPIERS/VINEUIL/ Mail ROUGER14/06;2010-01-01;9999-12-31;1;null;
82291137;IDC                 ;02640140;BOHIN INDUSTRIE A ST-OUEN SUR ITON;2010-01-01;9999-12-31;1;null;
82291137;PRM                 ;30000264014081;null;2010-01-01;9999-12-31;1;null;
82291134;IDC                 ;01340439;CU MAIRIE - SALLE DE SPECTACLE _ AUBY;2010-01-01;9999-12-31;1;null;
82291134;PRM                 ;30000134043940;null;2010-01-01;9999-12-31;1;null;
82291127;IDC                 ;09106415;CB FOURNIGAULT SA;2010-01-01;9999-12-31;1;null;
82291127;PRM                 ;30000910641568;null;2010-01-01;9999-12-31;1;null;
